specimen,broad_taxon_for_plotting,family,genus,species,life_history_notes,trait,armored,Semi-aquatic,n_cervical,n_thoracic,n_lumbar,color,marker,notes,Total Vert
agamidae_agama_atra_uf180711,iguania,Agamidae,Agama,atra,rock dweller,saxicolous,n,n,5,9,7,"(0.78, 0.16, 0.16)",o',,21
agamidae_draco_blanfordi_uf61535,iguania,Agamidae,Draco,blanfordii,"Arboreal, flying",Arboreal,n,n,4,10,8,"(0.78, 0.16, 0.16)",d',,22
agamidae_leiolepis_belliana_ncsm79583,iguania,Agamidae,Leiolepis,belliana,"terrestrial, but digs burrows",terrestrial,n,n,5,5,12,"(0.78, 0.16, 0.16)",X',,22
agamidae_uromastyx_uf84845,iguania,Agamidae,Uromastyx,acanthinurus,rock dweller; desert,saxicolous,n,n,5,5,12,"(0.78, 0.16, 0.16)",o',,22
amphisbaenidae_amphisbaena_bolivica,amphisbaenea,Amphisbaenidae,Amphisbaena,bolivica,burrowing,fossorial,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,103
amphisbaenidae_bipes_biporus_uf42060,amphisbaenea,Bipedidae,Bipes,biporus,burrowing,fossorial,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,0
amphisbaenidae_bipes_sp,amphisbaenea,Bipedidae,Bipes,biporus,burrowing,fossorial,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,128
amphisbaenidae_blanus_cinereus,amphisbaenea,Blanidae,Blanus,cinereus,burrowing,fossorial,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,116
amphisbaenidae_cadea_blanoides,amphisbaenea,Cadeidae,Cadea,blanoides,burrowing,fossorial,n,n,NA,NA,NA,"(0.60, 0.50, 0.46)",s',not reliable to distinguish c/t/l split,106
amphisbaenidae_diplometopon_zarudnyi_uf68567,amphisbaenea,Trogonophidae,Diplometopon,zarudnyi,burrowing,fossorial,n,n,5,4,72,"(0.60, 0.50, 0.46)",s',,81
anguidae_celestus_hylaius_uf-75794,anguimorpha,Anguidae,Celestus,hylaius,reduced limbed terrestrial; lives in leaf litter,terrestrial,n,n,5,8,21,"(1.00, 0.79, 0.20)",X',,34
anguidae_elgaria_kingi_uf74645,anguimorpha,Anguidae,Elgaria,kingii,armoured terrestrial,terrestrial,y,n,5,10,15,"(1.00, 0.79, 0.20)",X',,30
anguidae_pseudopus_apodus_ku87837,anguimorpha,Anguidae,Pseudopus,apodus,terrestrial/burrowing,terrstrial/burrowing,y,n,1,3,52,"(1.00, 0.79, 0.20)",s',,56
anolidae_anolis_carolinensis_uf102367,iguania,Anolidae,Anolis,carolinensis,arboreal,arboreal,n,n,5,5,11,"(0.78, 0.16, 0.16)",d',,21
boiidae_eryx conicus uf-herp-66735,snake,Snake Boiidae,Eryx ,conicus,terrestrial/burrowing,terrestrial/burrowing,n,n,0,1,0,"(0.25, 0.22, 0.2)",2',,1
carphodactylidae_phyllurus_platurus_uf126970,gekkota,Gekkota-Carphodactylidae,Phyllurus,platurus,Arboreal/Saxicolus,arboreal/saxicolus,n,n,5,5,13,"(0.41, 0.227, 0.6)",d',,23
chamaeleonidae_chamaeleo_calyptratus_uf-191369,iguania,Chamelonidae,Chameleo,Calyptratus,Arboreal,arboreal,n,n,5,8,7,"(0.78, 0.16, 0.16)",d',,20
cordylidae_chamaesaura_aenea,cordylidae,Cordylidae,Chamaesaura,aenea,swims in grass,grass swimmer,n,n,5,11,25,"(0.10, 0.51, 0.40)",P',,41
cordylidae_chamaesaura_macrolepis_amnh,cordylidae,Cordylidae,Chamaesaura,anguina oligopholis,swims in grass,grass swimmer,n,n,5,13,17,"(0.10, 0.51, 0.40)",P',,35
cordylidae_chamaesaura_oligo,cordylidae,Cordylidae,Chamaesaura,tenuior,swims in grass,grass swimmer,n,n,5,9,21,"(0.10, 0.51, 0.40)",P',,35
cordylidae_chamaesaura_tenuior,cordylidae,Cordylidae,Chamaesaura,macrolepis,swims in grass,grass swimmer,n,n,4,6,25,"(0.10, 0.51, 0.40)",P',,35
cordylidae_cordylus_cordylus,cordylidae,Cordylidae,Cordylus,jonesi,Semi-arboreal,semi-arboreal,y,n,5,9,9,"(0.10, 0.51, 0.40)",d',,23
cordylidae_cordylus_cultratus,cordylidae,Cordylidae,Cordylus,namakuiyus,Saxicolous,saxicolous,y,n,1,0,0,"(0.10, 0.51, 0.40)",o',,1
cordylidae_cordylus_jonesi_mcz,cordylidae,Cordylidae,Cordylus,cordylus,Saxicolous,saxicolous,y,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
cordylidae_cordylus_namakuiyus,cordylidae,Cordylidae,Cordylus,cultratus,saxicolous,saxicolous,y,n,5,10,8,"(0.10, 0.51, 0.40)",o',,23
cordylidae_hemicordylus_capensis_hc,cordylidae,Cordylidae,Hemicordylus,capensis,Saxicolous,saxicolous,y,n,5,9,9,"(0.10, 0.51, 0.40)",o',,23
cordylidae_karusaurus_jordani,cordylidae,Cordylidae,Karusaurus,jordani,Saxicolous,saxicolous,y,n,4,8,11,"(0.10, 0.51, 0.40)",o',,23
cordylidae_namazonurus_campbelli,cordylidae,Cordylidae,Namazonurus,campbelli,Saxicolous,saxicolous,y,n,5,9,10,"(0.10, 0.51, 0.40)",o',,24
cordylidae_ninurta_coerleo_ni,cordylidae,Cordylidae,Ninurta,coeruleopunctatus,Saxicolous,saxicolous,y,n,5,9,9,"(0.10, 0.51, 0.40)",o',,23
cordylidae_ouroborus_cataphractus_amnh,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,6,10,"(0.082, 0.76, 0.92)",v',,21
cordylidae_ouroborus_cataphractus_cas2068412,cordylidae,Cordylidae,Ouroborus,cataphractus,Saxicolous; bites tail to front,bites tail to front,y,n,5,9,7,"(0.082, 0.76, 0.92)",v',,21
