vtk_name,path_type,specimen,family,genus,species,vertebra_type,vertebra_num,n_cervical,n_thoracic,n_lumbar,Total Vert,normalized_position,status
agamidae_agama_atra_uf180711_01-c3.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,C,3,5,9,7,21,0.047619,OK
agamidae_agama_atra_uf180711_05-c7.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,C,7,5,9,7,21,0.238095,OK
agamidae_agama_atra_uf180711_06-t1.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,1,5,9,7,21,0.285714,OK
agamidae_agama_atra_uf180711_07-t2.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,2,5,9,7,21,0.333333,OK
agamidae_agama_atra_uf180711_08-t3.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,3,5,9,7,21,0.380952,OK
agamidae_agama_atra_uf180711_09-t4.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,4,5,9,7,21,0.428571,OK
agamidae_agama_atra_uf180711_11-t6.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,6,5,9,7,21,0.52381,OK
agamidae_agama_atra_uf180711_12-t7.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,7,5,9,7,21,0.571429,OK
agamidae_agama_atra_uf180711_13-t8.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,8,5,9,7,21,0.619048,OK
agamidae_agama_atra_uf180711_14-t9.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,T,9,5,9,7,21,0.666667,OK
agamidae_agama_atra_uf180711_15-l1.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,1,5,9,7,21,0.714286,OK
agamidae_agama_atra_uf180711_16-l2.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,2,5,9,7,21,0.761905,OK
agamidae_agama_atra_uf180711_17-l3.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,3,5,9,7,21,0.809524,OK
agamidae_agama_atra_uf180711_19-l5.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,5,5,9,7,21,0.904762,OK
agamidae_agama_atra_uf180711_20-l6.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,6,5,9,7,21,0.952381,OK
agamidae_agama_atra_uf180711_21-l7.vtk,list_mesh_paths,agamidae_agama_atra_uf180711,agamidae,agama,atra,L,7,5,9,7,21,1.0,OK
